#r(A)          g(r)_raw       g(r)_smooth       Base
   19.0750      3.8398872      3.7067250      3.6350198
   19.1250      3.7779820      3.6469034      3.6034679
   19.1750      3.6528283      3.5443154      3.5722552
   19.2250      3.3687691      3.3972262      3.5414023
   19.2750      3.0821104      3.2402867      3.5107945
   19.3250      3.1044412      3.0988087      3.4806051
   19.3750      2.9932846      3.0504080      3.4506880
   19.4250      2.9454383      3.0454319      3.4209791
   19.4750      3.1267655      3.0216837      3.3913019
   19.5250      3.0572301      3.0674755      3.3615539
   19.5750      2.9857001      3.1042740      3.3318267
   19.6250      3.2222435      3.1341641      3.3021236
   19.6750      3.1294308      3.1370705      3.2723593
   19.7250      3.2762160      3.1724807      3.2426175
   19.7750      3.0717622      3.1558534      3.2125915
   19.8250      3.1627510      3.1597830      3.1824528
   19.8750      3.1391070      3.1081861      3.1521506
   19.9250      3.1490789      3.1189019      3.1216528
   19.9750      3.0182315      3.1143879      3.0910204
   20.0250      3.1253411      3.1195494      3.0603158
   20.0750      3.1401810      3.0604092      3.0295544
   20.1250      3.1649144      3.0849988      2.9987103
   20.1750      2.8533779      3.0562726      2.9678685
   20.2250      3.1411797      3.0270830      2.9373395
   20.2750      2.9817099      2.9855862      2.9067955
   20.3250      2.9942332      2.9682767      2.8765363
   20.3750      2.9574302      2.8911945      2.8464853
   20.4250      2.7668307      2.8762712      2.8166980
   20.4750      2.7557684      2.8579496      2.7873295
   20.5250      2.9070937      2.8600116      2.7584132
   20.5750      2.9026249      2.8839558      2.7298856
   20.6250      2.9677403      2.9016278      2.7015798
   20.6750      2.8865519      2.8654913      2.6733436
   20.7250      2.8441283      2.8125723      2.6451469
   20.7750      2.7264112      2.7539423      2.6170208
   20.8250      2.6380298      2.6754325      2.5890168
   20.8750      2.6745902      2.5807626      2.5612767
   20.9250      2.4940029      2.5429380      2.5336255
   20.9750      2.3707790      2.4877562      2.5062826
   21.0250      2.5372882      2.4285172      2.4791440
   21.0750      2.3621206      2.3826667      2.4520750
   21.1250      2.3783952      2.3747343      2.4250464
   21.1750      2.2647504      2.3123710      2.3979692
   21.2250      2.3311171      2.3197618      2.3708951
   21.2750      2.2254720      2.3073597      2.3438622
   21.3250      2.3990745      2.3097460      2.3169229
   21.3750      2.3163843      2.2639891      2.2900064
   21.4250      2.2766822      2.2074531      2.2631422
   21.4750      2.1023323      2.1407080      2.2364183
   21.5250      1.9427923      2.0501829      2.2098189
   21.5750      2.0653488      1.9719631      2.1835062
   21.6250      1.8637590      1.9325014      2.1573610
   21.6750      1.8855829      1.8965099      2.1316290
   21.7250      1.9050240      1.8489631      2.1062539
   21.7750      1.7628351      1.8426246      2.0811720
   21.8250      1.8276147      1.8417165      2.0563851
   21.8750      1.8320662      1.8102718      2.0317498
   21.9250      1.8810426      1.8300841      2.0072287
   21.9750      1.7478005      1.8574553      1.9827763
   22.0250      1.8618965      1.8880000      1.9584536
   22.0750      1.9644706      1.8986594      1.9342261
   22.1250      1.9847897      1.9586090      1.9099994
   22.1750      1.9343398      1.9807391      1.8857527
   22.2250      2.0475486      1.9826368      1.8616015
   22.2750      1.9725467      1.9517997      1.8373852
   22.3250      1.9739594      1.9245509      1.8132027
   22.3750      1.8306038      1.8932665      1.7889669
   22.4250      1.7980962      1.8382940      1.7648305
   22.4750      1.8911264      1.7671181      1.7407883
   22.5250      1.6976844      1.7467106      1.7167746
   22.5750      1.6180799      1.7106382      1.6928680
   22.6250      1.7285663      1.6620472      1.6691947
   22.6750      1.6177341      1.6133153      1.6456436
   22.7250      1.6481714      1.6046979      1.6223169
   22.7750      1.4540247      1.5429617      1.5990699
   22.8250      1.5749929      1.5180781      1.5761413
   22.8750      1.4198854      1.5063031      1.5533680
   22.9250      1.4933161      1.5258182      1.5308623
   22.9750      1.5892964      1.5220964      1.5085510
   23.0250      1.5516004      1.5301121      1.4863053
   23.0750      1.5563839      1.5313041      1.4641283
   23.1250      1.4599637      1.5014149      1.4420574
   23.1750      1.4992761      1.4676557      1.4201793
   23.2250      1.4398502      1.4193747      1.3984583
   23.2750      1.3828045      1.4116680      1.3769289
   23.3250      1.3149790      1.3848432      1.3556068
   23.3750      1.4214302      1.3517036      1.3345023
   23.4250      1.3651519      1.3204082      1.3134656
   23.4750      1.2741523      1.2898864      1.2925686
   23.5250      1.2263276      1.2487940      1.2718013
   23.5750      1.1623701      1.2008154      1.2511255
   23.6250      1.2159679      1.1573973      1.2306590
   23.6750      1.1252593      1.1046005      1.2102899
   23.7250      1.0570614      1.0745760      1.1901115
   23.7750      0.9623438      1.0240327      1.1701188
   23.8250      1.0122474      0.9936794      1.1503963
   23.8750      0.9632513      0.9786402      1.1308582
   23.9250      0.9734931      0.9675829      1.1116220
   23.9750      0.9818655      0.9577656      1.0926342
   24.0250      0.9070572      0.9594048      1.0738732
   24.0750      0.9631609      0.9571450      1.0553281
   24.1250      0.9714473      0.9451131      1.0368944
   24.1750      0.9621942      0.9476307      1.0186121
   24.2250      0.9217060      0.9398969      1.0004103
   24.2750      0.9196449      0.9390238      0.9823122
   24.3250      0.9244921      0.9179975      0.9643316
   24.3750      0.9670819      0.9231102      0.9464065
   24.4250      0.8570629      0.9166647      0.9285237
   24.4750      0.9472694      0.9007547      0.9107601
   24.5250      0.8874170      0.8820368      0.8930660
   24.5750      0.8449423      0.8970193      0.8754327
   24.6250      0.8734921      0.8865297      0.8579296
   24.6750      0.9319757      0.8683340      0.8405685
   24.7250      0.8948213      0.8507058      0.8232967
   24.7750      0.7964386      0.8234610      0.8061328
   24.8250      0.7568012      0.7885282      0.7891884
   24.8750      0.7372681      0.7499488      0.7724586
   24.9250      0.7573118      0.7321153      0.7559574
   24.9750      0.7019245      0.7119066      0.7396114
   25.0250      0.7072707      0.7080168      0.7234408
   25.0750      0.6557580      0.6834456      0.7074803
   25.1250      0.7178190      0.6739403      0.6916909
   25.1750      0.6344558      0.6625289      0.6759891
   25.2250      0.6543979      0.6504047      0.6604818
   25.2750      0.6502138      0.6212786      0.6451081
   25.3250      0.5951368      0.6026919      0.6298802
   25.3750      0.5721886      0.5787485      0.6147639
   25.4250      0.5415223      0.5652485      0.5998231
   25.4750      0.5346809      0.5513865      0.5850194
   25.5250      0.5827141      0.5333113      0.5703822
   25.5750      0.5258268      0.5287353      0.5559134
   25.6250      0.4818125      0.5097031      0.5416432
   25.6750      0.5186424      0.4914768      0.5276035
   25.7250      0.4395196      0.4784327      0.5137262
   25.7750      0.4915829      0.4759699      0.5000899
