#r(A)          g(r)_raw       g(r)_smooth       Base
   24.8750      1.0001444      0.9997668      0.9995838
   24.9250      1.0121502      1.0142313      0.9997295
   24.9750      1.0298980      1.0273285      0.9998847
   25.0250      1.0435941      1.0391074      1.0000418
   25.0750      1.0508556      1.0504068      1.0001949
   25.1250      1.0590391      1.0584876      1.0003427
   25.1750      1.0686473      1.0649874      1.0004852
   25.2250      1.0703020      1.0694301      1.0006153
   25.2750      1.0760930      1.0718521      1.0007340
   25.3250      1.0730690      1.0716405      1.0008382
   25.3750      1.0711490      1.0695410      1.0009267
   25.4250      1.0675896      1.0651190      1.0009975
   25.4750      1.0598041      1.0592236      1.0010481
   25.5250      1.0539834      1.0529846      1.0010797
   25.5750      1.0435918      1.0452600      1.0010910
   25.6250      1.0399538      1.0384678      1.0010863
   25.6750      1.0289668      1.0304857      1.0010621
   25.7250      1.0258434      1.0230156      1.0010205
   25.7750      1.0140725      1.0149515      1.0009584
   25.8250      1.0062416      1.0084332      1.0008775
   25.8750      0.9996333      1.0013063      1.0007803
   25.9250      0.9963752      0.9951424      1.0006676
   25.9750      0.9902090      0.9899157      1.0005378
   26.0250      0.9832529      0.9854689      1.0003925
   26.0750      0.9801081      0.9809422      1.0002378
   26.1250      0.9773995      0.9771784      1.0000746
   26.1750      0.9737415      0.9748892      0.9999080
   26.2250      0.9713899      0.9725368      0.9997415
   26.2750      0.9718068      0.9699891      0.9995803
   26.3250      0.9683462      0.9674195      0.9994257
   26.3750      0.9646610      0.9648175      0.9992834
   26.4250      0.9608936      0.9615091      0.9991566
   26.4750      0.9583800      0.9580406      0.9990485
   26.5250      0.9552647      0.9550693      0.9989605
   26.5750      0.9510038      0.9524708      0.9988963
   26.6250      0.9498042      0.9501347      0.9988601
   26.6750      0.9479013      0.9484695      0.9988517
   26.7250      0.9466994      0.9481742      0.9988735
   26.7750      0.9469388      0.9484459      0.9989247
   26.8250      0.9495273      0.9502770      0.9990046
   26.8750      0.9511624      0.9530667      0.9991132
   26.9250      0.9570572      0.9568495      0.9992466
   26.9750      0.9606480      0.9628301      0.9994013
   27.0250      0.9658528      0.9702248      0.9995745
   27.0750      0.9794302      0.9792851      0.9997644
   27.1250      0.9881360      0.9898661      0.9999650
   27.1750      1.0023587      1.0017382      1.0001724
   27.2250      1.0135528      1.0135261      1.0003798
   27.2750      1.0252132      1.0254024      1.0005831
   27.3250      1.0383697      1.0360865      1.0007754
   27.3750      1.0475178      1.0465982      1.0009520
   27.4250      1.0557789      1.0561431      1.0011091
   27.4750      1.0661114      1.0635673      1.0012438
   27.5250      1.0729376      1.0692709      1.0013511
   27.5750      1.0754909      1.0738001      1.0014278
   27.6250      1.0760359      1.0756724      1.0014734
   27.6750      1.0784248      1.0749707      1.0014873
   27.7250      1.0754726      1.0733999      1.0014665
   27.7750      1.0694294      1.0696130      1.0014139
   27.8250      1.0676367      1.0637864      1.0013313
   27.8750      1.0571015      1.0566217      1.0012191
   27.9250      1.0492915      1.0487092      1.0010813
   27.9750      1.0396496      1.0393340      1.0009210
   28.0250      1.0298669      1.0302911      1.0007425
   28.0750      1.0207603      1.0201188      1.0005489
   28.1250      1.0118874      1.0102767      1.0003439
   28.1750      0.9984300      1.0001985      1.0001295
   28.2250      0.9904389      0.9894270      0.9999144
   28.2750      0.9794758      0.9792287      0.9997014
   28.3250      0.9669031      0.9700258      0.9994973
   28.3750      0.9608956      0.9611031      0.9993074
   28.4250      0.9524155      0.9526199      0.9991324
   28.4750      0.9458254      0.9461530      0.9989780
   28.5250      0.9370602      0.9397325      0.9988476
   28.5750      0.9345686      0.9354886      0.9987457
   28.6250      0.9287929      0.9321737      0.9986723
   28.6750      0.9311960      0.9311797      0.9986321
   28.7250      0.9292508      0.9312175      0.9986235
   28.7750      0.9320901      0.9329736      0.9986472
   28.8250      0.9347576      0.9352883      0.9987025
   28.8750      0.9375738      0.9390351      0.9987897
