  #r(A)    Histogram   Baseline       PDF
  5.590     0.01131     0.01790    -0.06200
  5.600     0.01072     0.01786    -0.06713
  5.610     0.01022     0.01782    -0.07146
  5.620     0.00966     0.01778    -0.07633
  5.630     0.00932     0.01775    -0.07925
  5.640     0.00893     0.01772    -0.08263
  5.650     0.00885     0.01770    -0.08312
  5.660     0.00870     0.01768    -0.08442
  5.670     0.00864     0.01766    -0.08482
  5.680     0.00857     0.01765    -0.08540
  5.690     0.00854     0.01764    -0.08558
  5.700     0.00853     0.01764    -0.08566
  5.710     0.00868     0.01765    -0.08431
  5.720     0.00900     0.01766    -0.08135
  5.730     0.00931     0.01767    -0.07863
  5.740     0.00958     0.01769    -0.07626
  5.750     0.01008     0.01771    -0.07172
  5.760     0.01050     0.01773    -0.06796
  5.770     0.01116     0.01776    -0.06212
  5.780     0.01187     0.01780    -0.05574
  5.790     0.01265     0.01783    -0.04875
  5.800     0.01344     0.01787    -0.04165
  5.810     0.01438     0.01791    -0.03325
  5.820     0.01527     0.01796    -0.02523
  5.830     0.01619     0.01800    -0.01704
  5.840     0.01725     0.01805    -0.00745
  5.850     0.01838     0.01810     0.00265
  5.860     0.01941     0.01815     0.01190
  5.870     0.02058     0.01820     0.02245
  5.880     0.02181     0.01825     0.03354
  5.890     0.02306     0.01830     0.04477
  5.900     0.02423     0.01835     0.05534
  5.910     0.02556     0.01839     0.06734
  5.920     0.02672     0.01844     0.07781
  5.930     0.02794     0.01849     0.08886
  5.940     0.02907     0.01854     0.09900
  5.950     0.03017     0.01858     0.10896
  5.960     0.03113     0.01863     0.11759
  5.970     0.03213     0.01867     0.12653
  5.980     0.03315     0.01871     0.13574
  5.990     0.03392     0.01875     0.14266
  6.000     0.03460     0.01878     0.14869
  6.010     0.03536     0.01882     0.15555
  6.020     0.03567     0.01885     0.15817
  6.030     0.03610     0.01888     0.16194
  6.040     0.03629     0.01891     0.16345
  6.050     0.03626     0.01893     0.16292
  6.060     0.03628     0.01896     0.16284
  6.070     0.03599     0.01898     0.15991
  6.080     0.03555     0.01901     0.15552
  6.090     0.03495     0.01903     0.14972
  6.100     0.03433     0.01905     0.14371
  6.110     0.03356     0.01907     0.13625
  6.120     0.03254     0.01909     0.12650
  6.130     0.03162     0.01911     0.11768
  6.140     0.03052     0.01913     0.10709
  6.150     0.02930     0.01915     0.09542
  6.160     0.02812     0.01917     0.08419
  6.170     0.02685     0.01919     0.07203
  6.180     0.02572     0.01921     0.06118
  6.190     0.02460     0.01923     0.05049
  6.200     0.02343     0.01926     0.03923
  6.210     0.02214     0.01929     0.02683
  6.220     0.02093     0.01931     0.01516
  6.230     0.01976     0.01935     0.00393
  6.240     0.01874     0.01938    -0.00600
  6.250     0.01778     0.01942    -0.01537
  6.260     0.01677     0.01945    -0.02524
  6.270     0.01588     0.01949    -0.03398
  6.280     0.01494     0.01954    -0.04319
  6.290     0.01411     0.01958    -0.05150
  6.300     0.01330     0.01963    -0.05951
  6.310     0.01249     0.01968    -0.06761
  6.320     0.01170     0.01974    -0.07557
  6.330     0.01109     0.01980    -0.08187
  6.340     0.01059     0.01986    -0.08715
  6.350     0.01019     0.01992    -0.09150
  6.360     0.00974     0.01998    -0.09632
  6.370     0.00952     0.02005    -0.09899
  6.380     0.00926     0.02012    -0.10214
  6.390     0.00902     0.02020    -0.10507
  6.400     0.00897     0.02027    -0.10631
  6.410     0.00893     0.02035    -0.10736
  6.420     0.00897     0.02043    -0.10777
  6.430     0.00913     0.02052    -0.10702
  6.440     0.00928     0.02060    -0.10648
  6.450     0.00943     0.02069    -0.10584
  6.460     0.00954     0.02078    -0.10564
