  #r(A)    Histogram   Baseline       PDF
 11.240     0.00000     0.05751    -0.10088
 11.260     0.00000     0.05757    -0.10098
 11.280     0.00000     0.05763    -0.10109
 11.300     0.00000     0.05769    -0.10119
 11.320     0.00000     0.05775    -0.10129
 11.340     0.00000     0.05790    -0.10156
 11.360     0.11686     0.05805     0.10317
 11.380     0.11686     0.05820     0.10291
 11.400     0.11686     0.05834     0.10265
 11.420     0.11686     0.05849     0.10238
 11.440     0.11686     0.05864     0.10212
 11.460     0.11686     0.05879     0.10186
 11.480     0.11686     0.05869     0.10204
 11.500     0.11686     0.05859     0.10222
 11.520     0.11686     0.05849     0.10240
 11.540     0.11686     0.05838     0.10258
 11.560     0.11686     0.05828     0.10276
 11.580     0.00000     0.05818    -0.10205
 11.600     0.00000     0.05808    -0.10187
 11.620     0.00000     0.05799    -0.10172
 11.640     0.00000     0.05790    -0.10156
 11.660     0.00000     0.05781    -0.10141
 11.680     0.00000     0.05781    -0.10141
 11.700     0.06915     0.05781     0.01988
 11.720     0.06915     0.05781     0.01989
 11.740     0.06915     0.05781     0.01989
 11.760     0.06915     0.05781     0.01989
 11.780     0.06915     0.05781     0.01989
 11.800     0.06915     0.05781     0.01989
 11.820     0.06915     0.05766     0.02015
 11.840     0.06915     0.05751     0.02041
 11.860     0.06915     0.05736     0.02067
 11.880     0.06915     0.05721     0.02094
 11.900     0.06915     0.05720     0.02095
 11.920     0.00000     0.05720    -0.10033
 11.940     0.00000     0.05719    -0.10032
 11.960     0.00000     0.05718    -0.10031
 11.980     0.00000     0.05718    -0.10029
 12.000     0.00000     0.05717    -0.10028
 12.020     0.15566     0.05716     0.17277
 12.040     0.15566     0.05716     0.17279
 12.060     0.15566     0.05739     0.17237
 12.080     0.15566     0.05763     0.17195
 12.100     0.15566     0.05787     0.17153
 12.120     0.15566     0.05811     0.17111
 12.140     0.15566     0.05801     0.17128
 12.160     0.15566     0.05792     0.17145
 12.180     0.15566     0.05786     0.17155
 12.200     0.15566     0.05780     0.17165
 12.220     0.15566     0.05774     0.17175
 12.240     0.00000     0.05769    -0.10119
 12.260     0.00000     0.05763    -0.10109
 12.280     0.00000     0.05757    -0.10099
 12.300     0.00000     0.05751    -0.10088
 12.320     0.00000     0.05746    -0.10078
 12.340     0.04923     0.05740    -0.01433
 12.360     0.04923     0.05734    -0.01423
 12.380     0.04923     0.05728    -0.01413
 12.400     0.04923     0.05722    -0.01402
 12.420     0.04923     0.05717    -0.01392
 12.440     0.04923     0.05726    -0.01408
 12.460     0.04923     0.05724    -0.01405
 12.480     0.04923     0.05722    -0.01403
 12.500     0.04923     0.05721    -0.01400
 12.520     0.04923     0.05719    -0.01397
 12.540     0.04923     0.05718    -0.01394
 12.560     0.00000     0.05716    -0.10027
 12.580     0.00000     0.05715    -0.10024
 12.600     0.00000     0.05713    -0.10021
 12.620     0.00000     0.05711    -0.10018
 12.640     0.09299     0.05710     0.06295
 12.660     0.09299     0.05708     0.06298
 12.680     0.09299     0.05707     0.06301
 12.700     0.09299     0.05705     0.06303
 12.720     0.09299     0.05710     0.06294
 12.740     0.09299     0.05716     0.06284
 12.760     0.09299     0.05701     0.06310
 12.780     0.09299     0.05687     0.06335
 12.800     0.09299     0.05686     0.06336
 12.820     0.09299     0.05686     0.06337
 12.840     0.09299     0.05686     0.06337
 12.860     0.00000     0.05686    -0.09973
 12.880     0.00000     0.05685    -0.09973
 12.900     0.00000     0.05685    -0.09972
 12.920     0.00000     0.05685    -0.09972
 12.940     0.04403     0.05684    -0.02248
 12.960     0.04403     0.05684    -0.02248
 12.980     0.04403     0.05687    -0.02253
 13.000     0.04403     0.05690    -0.02259
 13.020     0.04403     0.05693    -0.02264
 13.040     0.04403     0.05696    -0.02270
 13.060     0.04403     0.05690    -0.02258
 13.080     0.04403     0.05684    -0.02247
 13.100     0.04403     0.05677    -0.02236
 13.120     0.04403     0.05671    -0.02225
 13.140     0.04403     0.05664    -0.02213
 13.160     0.00000     0.05661    -0.09930
 13.180     0.00000     0.05658    -0.09925
 13.200     0.00000     0.05655    -0.09920
 13.220     0.00000     0.05652    -0.09914
 13.240     0.08384     0.05649     0.04797
 13.260     0.08384     0.05646     0.04803
 13.280     0.08384     0.05643     0.04808
 13.300     0.08384     0.05640     0.04814
 13.320     0.08384     0.05637     0.04819
 13.340     0.08384     0.05633     0.04825
 13.360     0.08384     0.05612     0.04862
 13.380     0.08384     0.05591     0.04899
 13.400     0.08384     0.05570     0.04936
 13.420     0.08384     0.05549     0.04973
 13.440     0.08384     0.05528     0.05010
 13.460     0.00000     0.05506    -0.09659
