 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
   10.3300      0.0545567      0.0535756      0.0457327
   10.3500      0.0530206      0.0516343      0.0456515
   10.3700      0.0482235      0.0491863      0.0455694
   10.3900      0.0462080      0.0474118      0.0454869
   10.4100      0.0439228      0.0454573      0.0454041
   10.4300      0.0456840      0.0442715      0.0453216
   10.4500      0.0432480      0.0432434      0.0452387
   10.4700      0.0422945      0.0423951      0.0451559
   10.4900      0.0410674      0.0419218      0.0450735
   10.5100      0.0396817      0.0423021      0.0449917
   10.5300      0.0433172      0.0425849      0.0449103
   10.5500      0.0451499      0.0435535      0.0448289
   10.5700      0.0437083      0.0448853      0.0447472
   10.5900      0.0459104      0.0453022      0.0446654
   10.6100      0.0463408      0.0451987      0.0445828
   10.6300      0.0454017      0.0457840      0.0445000
   10.6500      0.0446326      0.0461316      0.0444175
   10.6700      0.0466344      0.0463253      0.0443352
   10.6900      0.0476486      0.0470041      0.0442532
   10.7100      0.0473094      0.0492000      0.0441709
   10.7300      0.0487954      0.0512311      0.0440885
   10.7500      0.0556123      0.0538021      0.0440059
   10.7700      0.0567898      0.0563856      0.0439212
   10.7900      0.0605034      0.0599644      0.0438343
   10.8100      0.0602269      0.0627390      0.0437442
   10.8300      0.0666894      0.0648299      0.0436512
   10.8500      0.0694854      0.0660351      0.0435549
   10.8700      0.0672445      0.0683256      0.0434555
   10.8900      0.0665292      0.0677210      0.0433540
   10.9100      0.0716796      0.0659236      0.0432517
   10.9300      0.0636660      0.0635557      0.0431483
   10.9500      0.0604988      0.0605136      0.0430464
   10.9700      0.0554048      0.0560680      0.0429473
   10.9900      0.0513187      0.0525601      0.0428525
   11.0100      0.0494518      0.0489545      0.0427631
   11.0300      0.0461265      0.0457729      0.0426800
   11.0500      0.0424709      0.0431691      0.0426033
   11.0700      0.0394965      0.0410613      0.0425327
   11.0900      0.0383000      0.0396503      0.0424682
   11.1100      0.0389125      0.0388829      0.0424089
   11.1300      0.0390718      0.0380692      0.0423533
   11.1500      0.0386338      0.0372722      0.0423004
   11.1700      0.0354278      0.0368785      0.0422493
   11.1900      0.0343152      0.0359175      0.0421998
   11.2100      0.0369440      0.0346491      0.0421512
   11.2300      0.0342670      0.0348350      0.0421025
   11.2500      0.0322916      0.0356148      0.0420533
   11.2700      0.0363573      0.0358516      0.0420037
   11.2900      0.0382143      0.0370585      0.0419526
   11.3100      0.0381276      0.0388142      0.0418994
   11.3300      0.0403015      0.0401577      0.0418437
   11.3500      0.0410702      0.0413660      0.0417850
   11.3700      0.0430748      0.0425038      0.0417234
   11.3900      0.0442561      0.0437716      0.0416582
   11.4100      0.0438165      0.0441467      0.0415891
   11.4300      0.0466404      0.0445133      0.0415160
   11.4500      0.0429458      0.0441448      0.0414385
   11.4700      0.0449079      0.0433315      0.0413572
   11.4900      0.0424135      0.0420373      0.0412719
   11.5100      0.0397499      0.0408341      0.0411833
   11.5300      0.0401693      0.0390377      0.0410920
   11.5500      0.0369297      0.0370995      0.0409982
