 #r(A)        ρ(r)_raw       ρ_smooth(r)         Base
   35.8500      0.0740844      0.0740570      0.0690851
   35.9500      0.0738849      0.0737722      0.0688113
   36.0500      0.0733473      0.0732188      0.0685268
   36.1500      0.0724242      0.0724317      0.0682318
   36.2500      0.0715237      0.0714349      0.0679268
   36.3500      0.0703567      0.0704698      0.0676122
   36.4500      0.0695291      0.0693853      0.0672886
   36.5500      0.0682701      0.0685790      0.0669565
   36.6500      0.0679379      0.0680204      0.0666165
   36.7500      0.0678533      0.0679494      0.0662690
   36.8500      0.0680571      0.0680948      0.0659139
   36.9500      0.0683739      0.0683419      0.0655510
   37.0500      0.0685947      0.0684714      0.0651799
   37.1500      0.0684455      0.0683160      0.0648005
   37.2500      0.0679079      0.0677846      0.0644128
   37.3500      0.0670004      0.0668956      0.0640170
   37.4500      0.0657786      0.0657727      0.0636136
   37.5500      0.0645391      0.0646108      0.0632036
   37.6500      0.0635147      0.0636466      0.0627874
   37.7500      0.0628859      0.0629040      0.0623656
   37.8500      0.0623115      0.0624550      0.0619381
   37.9500      0.0621677      0.0621094      0.0615050
   38.0500      0.0618489      0.0617208      0.0610660
   38.1500      0.0611458      0.0611153      0.0606213
   38.2500      0.0603511      0.0603484      0.0601713
   38.3500      0.0595484      0.0595386      0.0597167
   38.4500      0.0587164      0.0587236      0.0592586
   38.5500      0.0579061      0.0578828      0.0587976
   38.6500      0.0570259      0.0571536      0.0583346
   38.7500      0.0565289      0.0566266      0.0578702
   38.8500      0.0563251      0.0563635      0.0574044
   38.9500      0.0562365      0.0562143      0.0569368
   39.0500      0.0560812      0.0560455      0.0564669
   39.1500      0.0558188      0.0558439      0.0559943
   39.2500      0.0556316      0.0555794      0.0555187
   39.3500      0.0552876      0.0552839      0.0550400
   39.4500      0.0549326      0.0549432      0.0545585
   39.5500      0.0546093      0.0545442      0.0540745
   39.6500      0.0540908      0.0540626      0.0535883
   39.7500      0.0534877      0.0534712      0.0531004
   39.8500      0.0528349      0.0528188      0.0526113
   39.9500      0.0521337      0.0521079      0.0521215
   40.0500      0.0513550      0.0513024      0.0516316
   40.1500      0.0504183      0.0505032      0.0511418
   40.2500      0.0497361      0.0497720      0.0506526
   40.3500      0.0491617      0.0492526      0.0501643
   40.4500      0.0488598      0.0488102      0.0496773
   40.5500      0.0484090      0.0484448      0.0491915
   40.6500      0.0480656      0.0480349      0.0487073
   40.7500      0.0476302      0.0475692      0.0482248
   40.8500      0.0470119      0.0470106      0.0477441
   40.9500      0.0463897      0.0463247      0.0472656
   41.0500      0.0455724      0.0456124      0.0467896
   41.1500      0.0448751      0.0449544      0.0463166
   41.2500      0.0444157      0.0444291      0.0458467
   41.3500      0.0439965      0.0441299      0.0453797
   41.4500      0.0439776      0.0439933      0.0449156
   41.5500      0.0440059      0.0440344      0.0444538
   41.6500      0.0441198      0.0440231      0.0439937
   41.7500      0.0439436      0.0439212      0.0435349
   41.8500      0.0437003      0.0435468      0.0430772
   41.9500      0.0429965      0.0430925      0.0426207
   42.0500      0.0425807      0.0425026      0.0421660
   42.1500      0.0419305      0.0419489      0.0417134
   42.2500      0.0413355      0.0413357      0.0412631
   42.3500      0.0407412      0.0407456      0.0408154
   42.4500      0.0401601      0.0401738      0.0403702
   42.5500      0.0396202      0.0396185      0.0399273
   42.6500      0.0390752      0.0390192      0.0394866
   42.7500      0.0383621      0.0383545      0.0390477
   42.8500      0.0376263      0.0376519      0.0386106
   42.9500      0.0369672      0.0370063      0.0381757
   43.0500      0.0364255      0.0364871      0.0377429
   43.1500      0.0360685      0.0360733      0.0373127
   43.2500      0.0357260      0.0357646      0.0368850
   43.3500      0.0354993      0.0354749      0.0364598
   43.4500      0.0351995      0.0352146      0.0360369
   43.5500      0.0349452      0.0349473      0.0356162
   43.6500      0.0346972      0.0346907      0.0351976
   43.7500      0.0344299      0.0344026      0.0347809
   43.8500      0.0340808      0.0340944      0.0343660
   43.9500      0.0337726      0.0338167      0.0339527
   44.0500      0.0335967      0.0336167      0.0335411
   44.1500      0.0334809      0.0334419      0.0331310
   44.2500      0.0332483      0.0332050      0.0327224
   44.3500      0.0328858      0.0328317      0.0323151
   44.4500      0.0323609      0.0322837      0.0319091
   44.5500      0.0316045      0.0316044      0.0315046
   44.6500      0.0308476      0.0308328      0.0311018
   44.7500      0.0300463      0.0301019      0.0307011
   44.8500      0.0294119      0.0294824      0.0303026
   44.9500      0.0289891      0.0290154      0.0299064
   45.0500      0.0286453      0.0286655      0.0295124
   45.1500      0.0283620      0.0283833      0.0291205
   45.2500      0.0281425      0.0281189      0.0287303
   45.3500      0.0278522      0.0278190      0.0283417
   45.4500      0.0274622      0.0274668      0.0279545
   45.5500      0.0270860      0.0270444      0.0275688
   45.6500      0.0265852      0.0266197      0.0271847
   45.7500      0.0261881      0.0261888      0.0268025
   45.8500      0.0257931      0.0258542      0.0264223
   45.9500      0.0255815      0.0255374      0.0260442
   46.0500      0.0252378      0.0252411      0.0256680
   46.1500      0.0249041      0.0248925      0.0252936
   46.2500      0.0245358      0.0245419      0.0249209
   46.3500      0.0241858      0.0241837      0.0245498
   46.4500      0.0238295      0.0238280      0.0241803
   46.5500      0.0234687      0.0234805      0.0238124
   46.6500      0.0231432      0.0232149      0.0234462
   46.7500      0.0230328      0.0230448      0.0230817
   46.8500      0.0229585      0.0229347      0.0227191
   46.9500      0.0228128      0.0227578      0.0223580
   47.0500      0.0225022      0.0224811      0.0219984
   47.1500      0.0221285      0.0220416      0.0216402
   47.2500      0.0214942      0.0214861      0.0212833
   47.3500      0.0208357      0.0208162      0.0209279
   47.4500      0.0201189      0.0201239      0.0205744
   47.5500      0.0194171      0.0194771      0.0202229
   47.6500      0.0188952      0.0189153      0.0198738
   47.7500      0.0184337      0.0184705      0.0195274
   47.8500      0.0180828      0.0180902      0.0191837
   47.9500      0.0177541      0.0177533      0.0188429
   48.0500      0.0174229      0.0174504      0.0185048
   48.1500      0.0171741      0.0171754      0.0181694
   48.2500      0.0169291      0.0169466      0.0178368
   48.3500      0.0167365      0.0167715      0.0175069
   48.4500      0.0166488      0.0166712      0.0171796
   48.5500      0.0166282      0.0166203      0.0168550
   48.6500      0.0165838      0.0165633      0.0165328
   48.7500      0.0164781      0.0164635      0.0162128
   48.8500      0.0163285      0.0162630      0.0158951
   48.9500      0.0159824      0.0159561      0.0155793
   49.0500      0.0155573      0.0155413      0.0152657
   49.1500      0.0150843      0.0150664      0.0149544
   49.2500      0.0145575      0.0145678      0.0146454
   49.3500      0.0140615      0.0140765      0.0143392
   49.4500      0.0136105      0.0136298      0.0140359
   49.5500      0.0132173      0.0132152      0.0137357
   49.6500      0.0128178      0.0128054      0.0134387
   49.7500      0.0123811      0.0123585      0.0131449
   49.8500      0.0118766      0.0118743      0.0128544
   49.9500      0.0113652      0.0113626      0.0125672
   50.0500      0.0108460      0.0108735      0.0122836
   50.1500      0.0104092      0.0104359      0.0120037
   50.2500      0.0100525      0.0100908      0.0117279
   50.3500      0.0098107      0.0098559      0.0114562
   50.4500      0.0097046      0.0097324      0.0111888
   50.5500      0.0096819      0.0096705      0.0109257
   50.6500      0.0096250      0.0096211      0.0106666
   50.7500      0.0095566      0.0095594      0.0104114
   50.8500      0.0094968      0.0094567      0.0101599
   50.9500      0.0093169      0.0093184      0.0099120
   51.0500      0.0091414      0.0091132      0.0096674
   51.1500      0.0088813      0.0088827      0.0094263
   51.2500      0.0086253      0.0086296      0.0091886
   51.3500      0.0083821      0.0083606      0.0089544
   51.4500      0.0080742      0.0080672      0.0087237
   51.5500      0.0077452      0.0077285      0.0084964
   51.6500      0.0073661      0.0073579      0.0082728
   51.7500      0.0069622      0.0069578      0.0080529
   51.8500      0.0065450      0.0065433      0.0078370
   51.9500      0.0061227      0.0061489      0.0076253
   52.0500      0.0057790      0.0057889      0.0074181
   52.1500      0.0054649      0.0054952      0.0072157
   52.2500      0.0052418      0.0052608      0.0070181
   52.3500      0.0050758      0.0050926      0.0068255
   52.4500      0.0049602      0.0049923      0.0066376
   52.5500      0.0049408      0.0049521      0.0064544
   52.6500      0.0049554      0.0049583      0.0062756
   52.7500      0.0049788      0.0049917      0.0061008
   52.8500      0.0050410      0.0050254      0.0059298
   52.9500      0.0050564      0.0050570      0.0057623
   53.0500      0.0050736      0.0050566      0.0055982
   53.1500      0.0050397      0.0050313      0.0054373
   53.2500      0.0049805      0.0049582      0.0052795
   53.3500      0.0048542      0.0048568      0.0051247
   53.4500      0.0047355      0.0047115      0.0049728
   53.5500      0.0045448      0.0045471      0.0048239
   53.6500      0.0043611      0.0043401      0.0046781
   53.7500      0.0041144      0.0041185      0.0045355
   53.8500      0.0038799      0.0038698      0.0043962
   53.9500      0.0036151      0.0036262      0.0042604
   54.0500      0.0033834      0.0033713      0.0041282
   54.1500      0.0031154      0.0031297      0.0039997
   54.2500      0.0028903      0.0029048      0.0038749
   54.3500      0.0027086      0.0027122      0.0037537
   54.4500      0.0025378      0.0025552      0.0036363
   54.5500      0.0024192      0.0024394      0.0035224
   54.6500      0.0023612      0.0023754      0.0034120
   54.7500      0.0023459      0.0023636      0.0033049
   54.8500      0.0023838      0.0023875      0.0032012
   54.9500      0.0024328      0.0024396      0.0031004
   55.0500      0.0025021      0.0025016      0.0030024
   55.1500      0.0025697      0.0025694      0.0029069
   55.2500      0.0026362      0.0026159      0.0028137
   55.3500      0.0026419      0.0026314      0.0027225
   55.4500      0.0026161      0.0026059      0.0026332
   55.5500      0.0025598      0.0025375      0.0025457
   55.6500      0.0024367      0.0024299      0.0024600
   55.7500      0.0022931      0.0022889      0.0023761
   55.8500      0.0021370      0.0021277      0.0022942
   55.9500      0.0019528      0.0019550      0.0022144
   56.0500      0.0017752      0.0017826      0.0021367
   56.1500      0.0016198      0.0016217      0.0020613
   56.2500      0.0014701      0.0014747      0.0019881
   56.3500      0.0013343      0.0013445      0.0019172
   56.4500      0.0012292      0.0012309      0.0018487
   56.5500      0.0011291      0.0011403      0.0017824
   56.6500      0.0010626      0.0010746      0.0017183
   56.7500      0.0010321      0.0010382      0.0016565
   56.8500      0.0010200      0.0010297      0.0015966
   56.9500      0.0010371      0.0010384      0.0015387
   57.0500      0.0010580      0.0010601      0.0014825
   57.1500      0.0010853      0.0010857      0.0014278
   57.2500      0.0011139      0.0011088      0.0013745
   57.3500      0.0011271      0.0011300      0.0013224
   57.4500      0.0011490      0.0011346      0.0012715
   57.5500      0.0011277      0.0011256      0.0012217
   57.6500      0.0011002      0.0010881      0.0011729
   57.7500      0.0010364      0.0010333      0.0011251
